,iid,id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field_cd,undergra,mn_sat,tuition,race,imprace,imprelig,from,zipcode,income,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,attr1_s,sinc1_s,intel1_s,fun1_s,amb1_s,shar1_s,attr3_s,sinc3_s,intel3_s,fun3_s,amb3_s,satis_2,length,numdat_2,attr7_2,sinc7_2,intel7_2,fun7_2,amb7_2,shar7_2,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr4_2,sinc4_2,intel4_2,fun4_2,amb4_2,shar4_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2,attr5_2,sinc5_2,intel5_2,fun5_2,amb5_2,you_call,them_cal,date_3,numdat_3,num_in_3,attr1_3,sinc1_3,intel1_3,fun1_3,amb1_3,shar1_3,attr7_3,sinc7_3,intel7_3,fun7_3,amb7_3,shar7_3,attr4_3,sinc4_3,intel4_3,fun4_3,amb4_3,shar4_3,attr2_3,sinc2_3,intel2_3,fun2_3,amb2_3,shar2_3,attr3_3,sinc3_3,intel3_3,fun3_3,amb3_3,attr5_3,sinc5_3,intel5_3,fun5_3,amb5_3
3288,273,1.0,1,2,2,11,21,11,11.0,3,6,257.0,0,0.64,1,24.0,2.0,22.0,14.0,30.0,10.0,14.0,10.0,0,5.0,7.0,8.0,6.0,8.0,0.0,3.0,0.0,2.0,29.0,10.0,"charles university, prague, czech republic",0,0,2.0,8.0,4.0,czech republic,,,2.0,5.0,2.0,2.0,6.0,1.0,5.0,7.0,7.0,4.0,8.0,1.0,3.0,2.0,5.0,7.0,8.0,8.0,8.0,3.0,2.0,5.0,0.0,30.0,25.0,18.0,18.0,4.0,5.0,37.0,10.0,11.0,20.0,5.0,17.0,17.0,15.0,23.0,20.0,15.0,10.0,7.0,10.0,5.0,7.0,7.0,6.0,9.0,9.0,6.0,8.0,0,7.0,6.0,7.0,5.0,8.0,1.0,6.0,1.0,0.0,2.0,30.0,28.0,20.0,15.0,4.0,3.0,10.0,9.0,7.0,5.0,5.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,18.0,18.0,4.0,5.0,37.0,10.0,11.0,20.0,5.0,17.0,17.0,19.0,22.0,17.0,15.0,10.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,9.0,7.0,8.0,1.0,1.0,1.0,1.0,0.0,30.0,25.0,18.0,18.0,4.0,5.0,60.0,5.0,20.0,10.0,0.0,5.0,37.0,10.0,11.0,20.0,5.0,17.0,17.0,15.0,23.0,20.0,15.0,10.0,7.0,6.0,6.0,6.0,6.0,7.0,9.0,8.0,7.0,9.0
3290,273,1.0,1,2,2,11,21,1,1.0,14,8,259.0,0,0.39,1,25.0,2.0,15.0,18.0,19.0,19.0,17.0,12.0,1,7.0,8.0,9.0,6.0,7.0,4.0,7.0,5.0,2.0,29.0,10.0,"charles university, prague, czech republic",0,0,2.0,8.0,4.0,czech republic,,,2.0,5.0,2.0,2.0,6.0,1.0,5.0,7.0,7.0,4.0,8.0,1.0,3.0,2.0,5.0,7.0,8.0,8.0,8.0,3.0,2.0,5.0,0.0,30.0,25.0,18.0,18.0,4.0,5.0,37.0,10.0,11.0,20.0,5.0,17.0,17.0,15.0,23.0,20.0,15.0,10.0,7.0,10.0,5.0,7.0,7.0,6.0,9.0,9.0,6.0,8.0,0,4.0,5.0,8.0,6.0,8.0,4.0,4.0,1.0,0.0,2.0,30.0,28.0,20.0,15.0,4.0,3.0,10.0,9.0,7.0,5.0,5.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,18.0,18.0,4.0,5.0,37.0,10.0,11.0,20.0,5.0,17.0,17.0,19.0,22.0,17.0,15.0,10.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,9.0,7.0,8.0,1.0,1.0,1.0,1.0,0.0,30.0,25.0,18.0,18.0,4.0,5.0,60.0,5.0,20.0,10.0,0.0,5.0,37.0,10.0,11.0,20.0,5.0,17.0,17.0,15.0,23.0,20.0,15.0,10.0,7.0,6.0,6.0,6.0,6.0,7.0,9.0,8.0,7.0,9.0
3298,273,1.0,1,2,2,11,21,21,21.0,13,16,267.0,0,-0.08,0,26.0,4.0,20.0,30.0,10.0,15.0,10.0,15.0,0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,2.0,29.0,10.0,"charles university, prague, czech republic",0,0,2.0,8.0,4.0,czech republic,,,2.0,5.0,2.0,2.0,6.0,1.0,5.0,7.0,7.0,4.0,8.0,1.0,3.0,2.0,5.0,7.0,8.0,8.0,8.0,3.0,2.0,5.0,0.0,30.0,25.0,18.0,18.0,4.0,5.0,37.0,10.0,11.0,20.0,5.0,17.0,17.0,15.0,23.0,20.0,15.0,10.0,7.0,10.0,5.0,7.0,7.0,6.0,9.0,9.0,6.0,8.0,0,9.0,7.0,5.0,6.0,5.0,7.0,6.0,5.0,0.0,2.0,30.0,28.0,20.0,15.0,4.0,3.0,10.0,9.0,7.0,5.0,5.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,18.0,18.0,4.0,5.0,37.0,10.0,11.0,20.0,5.0,17.0,17.0,19.0,22.0,17.0,15.0,10.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,9.0,7.0,8.0,1.0,1.0,1.0,1.0,0.0,30.0,25.0,18.0,18.0,4.0,5.0,60.0,5.0,20.0,10.0,0.0,5.0,37.0,10.0,11.0,20.0,5.0,17.0,17.0,15.0,23.0,20.0,15.0,10.0,7.0,6.0,6.0,6.0,6.0,7.0,9.0,8.0,7.0,9.0
3315,274,2.0,1,4,2,11,21,15,15.0,9,13,264.0,1,0.14,0,26.0,2.0,15.0,15.0,25.0,20.0,5.0,20.0,1,6.0,8.0,8.0,8.0,7.0,6.0,8.0,6.0,2.0,24.0,3.0,UC Berkeley,"1,309.00","15,162.00",3.0,3.0,3.0,Mexico,,,3.0,4.0,2.0,2.0,3.0,3.0,4.0,7.0,6.0,5.0,4.0,5.0,1.0,10.0,7.0,6.0,8.0,9.0,10.0,8.0,7.0,6.0,0.0,30.0,10.0,20.0,20.0,10.0,10.0,40.0,5.0,10.0,30.0,10.0,5.0,10.0,10.0,25.0,25.0,25.0,5.0,7.0,7.0,10.0,9.0,9.0,7.0,8.0,9.0,9.0,8.0,1,6.0,7.0,8.0,8.0,9.0,8.0,6.0,6.0,0.0,4.0,30.0,0.0,30.0,20.0,10.0,10.0,8.0,8.0,10.0,10.0,9.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,20.0,20.0,10.0,10.0,40.0,10.0,10.0,30.0,0.0,10.0,10.0,10.0,30.0,20.0,20.0,10.0,7.0,7.0,9.0,9.0,8.0,7.0,7.0,8.0,9.0,7.0,4.0,2.0,1.0,4.0,2.0,30.0,10.0,20.0,15.0,10.0,15.0,30.0,15.0,15.0,20.0,0.0,20.0,20.0,15.0,20.0,20.0,10.0,15.0,15.0,10.0,20.0,20.0,20.0,15.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0
3316,274,2.0,1,4,2,11,21,19,19.0,13,14,265.0,0,0.52,0,32.0,2.0,15.0,5.0,45.0,10.0,15.0,10.0,0,5.0,6.0,6.0,4.0,4.0,3.0,5.0,1.0,2.0,24.0,3.0,UC Berkeley,"1,309.00","15,162.00",3.0,3.0,3.0,Mexico,,,3.0,4.0,2.0,2.0,3.0,3.0,4.0,7.0,6.0,5.0,4.0,5.0,1.0,10.0,7.0,6.0,8.0,9.0,10.0,8.0,7.0,6.0,0.0,30.0,10.0,20.0,20.0,10.0,10.0,40.0,5.0,10.0,30.0,10.0,5.0,10.0,10.0,25.0,25.0,25.0,5.0,7.0,7.0,10.0,9.0,9.0,7.0,8.0,9.0,9.0,8.0,0,4.0,3.0,2.0,0.0,4.0,2.0,2.0,4.0,0.0,4.0,30.0,0.0,30.0,20.0,10.0,10.0,8.0,8.0,10.0,10.0,9.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,20.0,20.0,10.0,10.0,40.0,10.0,10.0,30.0,0.0,10.0,10.0,10.0,30.0,20.0,20.0,10.0,7.0,7.0,9.0,9.0,8.0,7.0,7.0,8.0,9.0,7.0,4.0,2.0,1.0,4.0,2.0,30.0,10.0,20.0,15.0,10.0,15.0,30.0,15.0,15.0,20.0,0.0,20.0,20.0,15.0,20.0,20.0,10.0,15.0,15.0,10.0,20.0,20.0,20.0,15.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0
3320,274,2.0,1,4,2,11,21,20,20.0,14,18,269.0,1,0.53,0,24.0,2.0,20.0,10.0,30.0,15.0,15.0,10.0,1,8.0,8.0,7.0,7.0,6.0,7.0,8.0,7.0,2.0,24.0,3.0,UC Berkeley,"1,309.00","15,162.00",3.0,3.0,3.0,Mexico,,,3.0,4.0,2.0,2.0,3.0,3.0,4.0,7.0,6.0,5.0,4.0,5.0,1.0,10.0,7.0,6.0,8.0,9.0,10.0,8.0,7.0,6.0,0.0,30.0,10.0,20.0,20.0,10.0,10.0,40.0,5.0,10.0,30.0,10.0,5.0,10.0,10.0,25.0,25.0,25.0,5.0,7.0,7.0,10.0,9.0,9.0,7.0,8.0,9.0,9.0,8.0,1,8.0,9.0,8.0,7.0,6.0,7.0,8.0,7.0,0.0,4.0,30.0,0.0,30.0,20.0,10.0,10.0,8.0,8.0,10.0,10.0,9.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,20.0,20.0,10.0,10.0,40.0,10.0,10.0,30.0,0.0,10.0,10.0,10.0,30.0,20.0,20.0,10.0,7.0,7.0,9.0,9.0,8.0,7.0,7.0,8.0,9.0,7.0,4.0,2.0,1.0,4.0,2.0,30.0,10.0,20.0,15.0,10.0,15.0,30.0,15.0,15.0,20.0,0.0,20.0,20.0,15.0,20.0,20.0,10.0,15.0,15.0,10.0,20.0,20.0,20.0,15.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0
3339,275,3.0,1,6,2,11,21,9,9.0,16,17,268.0,0,0.27,0,24.0,3.0,30.0,20.0,20.0,10.0,15.0,5.0,0,8.0,7.0,7.0,6.0,8.0,6.0,7.0,5.0,2.0,21.0,5.0,Novosibirsk State University,0,0,2.0,1.0,1.0,Siberia,"630,090",,2.0,4.0,3.0,7.0,9.0,1.0,10.0,6.0,7.0,7.0,4.0,6.0,5.0,10.0,1.0,9.0,7.0,7.0,9.0,5.0,9.0,6.0,0.0,25.0,10.0,25.0,5.0,10.0,25.0,20.0,15.0,15.0,15.0,10.0,25.0,10.0,15.0,20.0,15.0,15.0,25.0,10.0,7.0,6.0,10.0,10.0,9.0,6.0,10.0,5.0,10.0,1,9.0,7.0,8.0,7.0,8.0,6.0,9.0,7.0,0.0,8.0,20.0,10.0,20.0,10.0,20.0,20.0,10.0,7.0,10.0,5.0,10.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,20.0,10.0,20.0,20.0,20.0,10.0,10.0,15.0,15.0,30.0,15.0,15.0,20.0,15.0,15.0,20.0,10.0,6.0,10.0,5.0,10.0,9.0,7.0,9.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3340,275,3.0,1,6,2,11,21,20,20.0,6,18,269.0,0,0.64,1,24.0,2.0,20.0,10.0,30.0,15.0,15.0,10.0,0,6.0,7.0,8.0,4.0,10.0,4.0,4.0,4.0,2.0,21.0,5.0,Novosibirsk State University,0,0,2.0,1.0,1.0,Siberia,"630,090",,2.0,4.0,3.0,7.0,9.0,1.0,10.0,6.0,7.0,7.0,4.0,6.0,5.0,10.0,1.0,9.0,7.0,7.0,9.0,5.0,9.0,6.0,0.0,25.0,10.0,25.0,5.0,10.0,25.0,20.0,15.0,15.0,15.0,10.0,25.0,10.0,15.0,20.0,15.0,15.0,25.0,10.0,7.0,6.0,10.0,10.0,9.0,6.0,10.0,5.0,10.0,1,8.0,6.0,7.0,5.0,7.0,8.0,8.0,7.0,0.0,8.0,20.0,10.0,20.0,10.0,20.0,20.0,10.0,7.0,10.0,5.0,10.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,20.0,10.0,20.0,20.0,20.0,10.0,10.0,15.0,15.0,30.0,15.0,15.0,20.0,15.0,15.0,20.0,10.0,6.0,10.0,5.0,10.0,9.0,7.0,9.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3341,275,3.0,1,6,2,11,21,2,2.0,9,19,270.0,0,0.61,0,23.0,4.0,16.0,16.0,19.0,17.0,14.0,18.0,0,5.0,8.0,7.0,5.0,6.0,4.0,5.0,5.0,2.0,21.0,5.0,Novosibirsk State University,0,0,2.0,1.0,1.0,Siberia,"630,090",,2.0,4.0,3.0,7.0,9.0,1.0,10.0,6.0,7.0,7.0,4.0,6.0,5.0,10.0,1.0,9.0,7.0,7.0,9.0,5.0,9.0,6.0,0.0,25.0,10.0,25.0,5.0,10.0,25.0,20.0,15.0,15.0,15.0,10.0,25.0,10.0,15.0,20.0,15.0,15.0,25.0,10.0,7.0,6.0,10.0,10.0,9.0,6.0,10.0,5.0,10.0,1,7.0,6.0,8.0,6.0,7.0,8.0,8.0,7.0,0.0,8.0,20.0,10.0,20.0,10.0,20.0,20.0,10.0,7.0,10.0,5.0,10.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,20.0,10.0,20.0,20.0,20.0,10.0,10.0,15.0,15.0,30.0,15.0,15.0,20.0,15.0,15.0,20.0,10.0,6.0,10.0,5.0,10.0,9.0,7.0,9.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3345,276,4.0,1,8,2,11,21,4,4.0,3,2,253.0,0,0.58,0,33.0,4.0,25.0,30.0,10.0,10.0,5.0,20.0,1,6.0,6.0,7.0,6.0,7.0,4.0,6.0,5.0,2.0,26.0,10.0,UC Berkeley,"1,309.00","15,162.00",2.0,7.0,3.0,"New Hope, PA","18,977","80,608.00",2.0,4.0,1.0,2.0,6.0,2.0,8.0,9.0,8.0,9.0,2.0,3.0,6.0,9.0,1.0,4.0,7.0,6.0,7.0,2.0,2.0,4.0,0.0,24.0,16.0,28.0,14.0,8.0,10.0,25.0,13.0,11.0,23.0,13.0,15.0,25.0,18.0,11.0,18.0,23.0,5.0,7.0,6.0,7.0,10.0,8.0,5.0,6.0,9.0,6.0,7.0,0,4.0,7.0,7.0,2.0,6.0,3.0,5.0,4.0,0.0,9.0,25.0,15.0,15.0,20.0,5.0,20.0,7.0,8.0,9.0,7.0,7.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,20.0,20.0,5.0,15.0,25.0,10.0,10.0,25.0,15.0,15.0,25.0,15.0,15.0,20.0,20.0,5.0,7.0,6.0,8.0,7.0,8.0,6.0,5.0,7.0,7.0,5.0,1.0,1.0,1.0,1.0,0.0,25.0,15.0,25.0,15.0,5.0,15.0,25.0,15.0,20.0,20.0,5.0,15.0,30.0,10.0,15.0,20.0,5.0,20.0,20.0,20.0,10.0,15.0,20.0,15.0,8.0,8.0,9.0,7.0,8.0,7.0,8.0,9.0,6.0,7.0
3351,276,4.0,1,8,2,11,21,1,1.0,21,8,259.0,0,0.72,1,25.0,2.0,15.0,18.0,19.0,19.0,17.0,12.0,0,7.0,2.0,8.0,8.0,5.0,7.0,8.0,3.0,1.0,26.0,10.0,UC Berkeley,"1,309.00","15,162.00",2.0,7.0,3.0,"New Hope, PA","18,977","80,608.00",2.0,4.0,1.0,2.0,6.0,2.0,8.0,9.0,8.0,9.0,2.0,3.0,6.0,9.0,1.0,4.0,7.0,6.0,7.0,2.0,2.0,4.0,0.0,24.0,16.0,28.0,14.0,8.0,10.0,25.0,13.0,11.0,23.0,13.0,15.0,25.0,18.0,11.0,18.0,23.0,5.0,7.0,6.0,7.0,10.0,8.0,5.0,6.0,9.0,6.0,7.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,9.0,25.0,15.0,15.0,20.0,5.0,20.0,7.0,8.0,9.0,7.0,7.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,20.0,20.0,5.0,15.0,25.0,10.0,10.0,25.0,15.0,15.0,25.0,15.0,15.0,20.0,20.0,5.0,7.0,6.0,8.0,7.0,8.0,6.0,5.0,7.0,7.0,5.0,1.0,1.0,1.0,1.0,0.0,25.0,15.0,25.0,15.0,5.0,15.0,25.0,15.0,20.0,20.0,5.0,15.0,30.0,10.0,15.0,20.0,5.0,20.0,20.0,20.0,10.0,15.0,20.0,15.0,8.0,8.0,9.0,7.0,8.0,7.0,8.0,9.0,6.0,7.0
3355,276,4.0,1,8,2,11,21,14,14.0,13,12,263.0,0,0.2,0,26.0,1.0,20.0,20.0,20.0,10.0,20.0,10.0,0,5.0,9.0,7.0,7.0,7.0,3.0,7.0,0.0,2.0,26.0,10.0,UC Berkeley,"1,309.00","15,162.00",2.0,7.0,3.0,"New Hope, PA","18,977","80,608.00",2.0,4.0,1.0,2.0,6.0,2.0,8.0,9.0,8.0,9.0,2.0,3.0,6.0,9.0,1.0,4.0,7.0,6.0,7.0,2.0,2.0,4.0,0.0,24.0,16.0,28.0,14.0,8.0,10.0,25.0,13.0,11.0,23.0,13.0,15.0,25.0,18.0,11.0,18.0,23.0,5.0,7.0,6.0,7.0,10.0,8.0,5.0,6.0,9.0,6.0,7.0,1,8.0,5.0,7.0,8.0,7.0,8.0,8.0,6.0,0.0,9.0,25.0,15.0,15.0,20.0,5.0,20.0,7.0,8.0,9.0,7.0,7.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,20.0,20.0,5.0,15.0,25.0,10.0,10.0,25.0,15.0,15.0,25.0,15.0,15.0,20.0,20.0,5.0,7.0,6.0,8.0,7.0,8.0,6.0,5.0,7.0,7.0,5.0,1.0,1.0,1.0,1.0,0.0,25.0,15.0,25.0,15.0,5.0,15.0,25.0,15.0,20.0,20.0,5.0,15.0,30.0,10.0,15.0,20.0,5.0,20.0,20.0,20.0,10.0,15.0,20.0,15.0,8.0,8.0,9.0,7.0,8.0,7.0,8.0,9.0,6.0,7.0
3357,276,4.0,1,8,2,11,21,19,19.0,18,14,265.0,0,0.52,1,32.0,2.0,15.0,5.0,45.0,10.0,15.0,10.0,0,6.0,5.0,8.0,4.0,6.0,8.0,8.0,2.0,2.0,26.0,10.0,UC Berkeley,"1,309.00","15,162.00",2.0,7.0,3.0,"New Hope, PA","18,977","80,608.00",2.0,4.0,1.0,2.0,6.0,2.0,8.0,9.0,8.0,9.0,2.0,3.0,6.0,9.0,1.0,4.0,7.0,6.0,7.0,2.0,2.0,4.0,0.0,24.0,16.0,28.0,14.0,8.0,10.0,25.0,13.0,11.0,23.0,13.0,15.0,25.0,18.0,11.0,18.0,23.0,5.0,7.0,6.0,7.0,10.0,8.0,5.0,6.0,9.0,6.0,7.0,0,3.0,4.0,6.0,2.0,3.0,4.0,3.0,3.0,0.0,9.0,25.0,15.0,15.0,20.0,5.0,20.0,7.0,8.0,9.0,7.0,7.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,20.0,20.0,5.0,15.0,25.0,10.0,10.0,25.0,15.0,15.0,25.0,15.0,15.0,20.0,20.0,5.0,7.0,6.0,8.0,7.0,8.0,6.0,5.0,7.0,7.0,5.0,1.0,1.0,1.0,1.0,0.0,25.0,15.0,25.0,15.0,5.0,15.0,25.0,15.0,20.0,20.0,5.0,15.0,30.0,10.0,15.0,20.0,5.0,20.0,20.0,20.0,10.0,15.0,20.0,15.0,8.0,8.0,9.0,7.0,8.0,7.0,8.0,9.0,6.0,7.0
3365,277,5.0,1,10,2,11,21,19,19.0,19,14,265.0,0,0.24,1,32.0,2.0,15.0,5.0,45.0,10.0,15.0,10.0,0,5.0,6.0,6.0,5.0,6.0,4.0,7.0,2.0,2.0,25.0,10.0,RPI,"1,308.00","25,555.00",2.0,1.0,1.0,Connecticut,"6,098",,1.0,7.0,5.0,2.0,10.0,6.0,10.0,5.0,8.0,8.0,10.0,5.0,3.0,8.0,2.0,7.0,8.0,6.0,6.0,1.0,2.0,5.0,0.0,60.0,20.0,0.0,20.0,0.0,0.0,40.0,10.0,10.0,20.0,10.0,10.0,50.0,0.0,0.0,0.0,50.0,0.0,4.0,8.0,8.0,8.0,5.0,4.0,8.0,8.0,8.0,5.0,0,5.0,8.0,7.0,5.0,9.0,3.0,6.0,2.0,0.0,2.0,60.0,10.0,5.0,20.0,0.0,5.0,4.0,8.0,8.0,8.0,5.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,10.0,0.0,20.0,0.0,10.0,50.0,0.0,0.0,30.0,0.0,20.0,50.0,0.0,0.0,0.0,50.0,0.0,4.0,8.0,8.0,8.0,5.0,4.0,8.0,8.0,8.0,5.0,1.0,0.0,1.0,1.0,0.0,60.0,20.0,0.0,20.0,0.0,0.0,60.0,20.0,0.0,20.0,0.0,0.0,60.0,0.0,0.0,20.0,0.0,20.0,50.0,0.0,0.0,0.0,50.0,0.0,4.0,8.0,8.0,8.0,6.0,4.0,8.0,7.0,8.0,7.0
3371,278,6.0,1,12,2,11,21,1,1.0,15,8,259.0,0,0.59,1,25.0,2.0,15.0,18.0,19.0,19.0,17.0,12.0,0,7.0,7.0,8.0,6.0,5.0,6.0,7.0,4.0,1.0,32.0,5.0,umass,"1,050.00","14,433.00",2.0,1.0,1.0,"boston, ma",0,,1.0,3.0,1.0,2.0,8.0,1.0,5.0,9.0,9.0,9.0,9.0,5.0,8.0,9.0,5.0,7.0,9.0,9.0,9.0,5.0,1.0,8.0,0.0,25.0,15.0,20.0,25.0,10.0,5.0,25.0,15.0,20.0,25.0,10.0,5.0,25.0,15.0,20.0,25.0,10.0,5.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,7.0,7.0,1,6.0,5.0,5.0,3.0,5.0,5.0,8.0,8.0,1.0,3.0,20.0,5.0,20.0,25.0,20.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,20.0,25.0,5.0,5.0,25.0,20.0,20.0,25.0,5.0,5.0,20.0,25.0,20.0,25.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,20.0,20.0,15.0,15.0,15.0,15.0,20.0,20.0,15.0,15.0,15.0,15.0,20.0,20.0,15.0,15.0,15.0,15.0,20.0,20.0,15.0,15.0,9.0,9.0,9.0,9.0,9.0,6.0,6.0,6.0,6.0,6.0
3377,278,6.0,1,12,2,11,21,19,19.0,12,14,265.0,0,0.13,1,32.0,2.0,15.0,5.0,45.0,10.0,15.0,10.0,0,5.0,6.0,6.0,5.0,5.0,7.0,6.0,3.0,2.0,32.0,5.0,umass,"1,050.00","14,433.00",2.0,1.0,1.0,"boston, ma",0,,1.0,3.0,1.0,2.0,8.0,1.0,5.0,9.0,9.0,9.0,9.0,5.0,8.0,9.0,5.0,7.0,9.0,9.0,9.0,5.0,1.0,8.0,0.0,25.0,15.0,20.0,25.0,10.0,5.0,25.0,15.0,20.0,25.0,10.0,5.0,25.0,15.0,20.0,25.0,10.0,5.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,7.0,7.0,0,5.0,5.0,7.0,5.0,5.0,8.0,6.0,5.0,0.0,3.0,20.0,5.0,20.0,25.0,20.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,20.0,25.0,5.0,5.0,25.0,20.0,20.0,25.0,5.0,5.0,20.0,25.0,20.0,25.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,20.0,20.0,15.0,15.0,15.0,15.0,20.0,20.0,15.0,15.0,15.0,15.0,20.0,20.0,15.0,15.0,15.0,15.0,20.0,20.0,15.0,15.0,9.0,9.0,9.0,9.0,9.0,6.0,6.0,6.0,6.0,6.0
3379,278,6.0,1,12,2,11,21,20,20.0,13,18,269.0,0,0.64,1,24.0,2.0,20.0,10.0,30.0,15.0,15.0,10.0,0,5.0,8.0,9.0,6.0,8.0,3.0,6.0,7.0,2.0,32.0,5.0,umass,"1,050.00","14,433.00",2.0,1.0,1.0,"boston, ma",0,,1.0,3.0,1.0,2.0,8.0,1.0,5.0,9.0,9.0,9.0,9.0,5.0,8.0,9.0,5.0,7.0,9.0,9.0,9.0,5.0,1.0,8.0,0.0,25.0,15.0,20.0,25.0,10.0,5.0,25.0,15.0,20.0,25.0,10.0,5.0,25.0,15.0,20.0,25.0,10.0,5.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,7.0,7.0,0,5.0,6.0,8.0,7.0,9.0,2.0,5.0,5.0,0.0,3.0,20.0,5.0,20.0,25.0,20.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,20.0,25.0,5.0,5.0,25.0,20.0,20.0,25.0,5.0,5.0,20.0,25.0,20.0,25.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,20.0,20.0,15.0,15.0,15.0,15.0,20.0,20.0,15.0,15.0,15.0,15.0,20.0,20.0,15.0,15.0,15.0,15.0,20.0,20.0,15.0,15.0,9.0,9.0,9.0,9.0,9.0,6.0,6.0,6.0,6.0,6.0
